family,variable,forced_value,status,fleet_size,chained,objective,min_fleet_reachable,objective_reachable,solved
chaining,"(295900043, 294100328)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 294100328)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 295200253)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 295200253)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 200000336)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 200000336)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 200090340)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 200090340)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 200000382)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 200000382)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 294100344)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 294100344)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 294100348)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 294100348)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 294100352)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 294100352)",1,Optimal,36,96,96,False,False,True
chaining,"(295900043, 295200235)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 295200235)",1,Optimal,36,96,96,False,False,True
chaining,"(295900043, 294200141)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 294200141)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 294200138)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 294200138)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 294200175)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 294200175)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 200090123)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 200090123)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 200000121)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 200000121)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 294200147)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 294200147)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 294200133)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 294200133)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 296000105)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 296000105)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 200090702)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 200090702)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 296000091)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 296000091)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 296000097)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 296000097)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 296000100)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 296000100)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 200000229)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 200000229)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 294400182)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 294400182)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 294300211)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 294300211)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 294300215)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 294300215)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 294300217)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 294300217)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 200090219)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 200090219)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 200000221)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 200000221)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 294400189)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 294400189)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 200090225)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 200090225)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 200000026)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 200000026)",1,Optimal,36,96,96,False,False,True
chaining,"(295900046, 296200626)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 296200626)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 296200624)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 296200624)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 296200099)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 296200099)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 296200096)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 296200096)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 296200093)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 296200093)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 296200088)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 296200088)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 200090682)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 200090682)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 296200102)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 296200102)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 200090402)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 200090402)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 295800465)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 295800465)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 200090404)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 200090404)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 295800463)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 295800463)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 295800464)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 295800464)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 200090308)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 200090308)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 295200233)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 295200233)",1,Optimal,35,97,97,True,True,True
chaining,"(295900046, 294100316)",0,Optimal,35,97,97,True,True,False
chaining,"(295900046, 294100316)",1,Optimal,35,97,97,True,True,True
